Name,Frequency,Effect,Trigger,Target,Keywords,Effect 2
Interference,At-Will - Standard Action,The accuracy of all foes within 3 meters is reduced by -2 until the end of the user's next turn.,,,,The accuracy of all foes within 3 meters is reduced by -2 until the end of the user's next turn.
Intimidate,Scene - Swift Action,Lower the target's Attack 1 Combat Stage.,,Pokémon or Trainer within 5 meters,,"Target - Pokémon or Trainer within 5 meters
Lower the target's Attack 1 Combat Stage."
Iron Barbs,At-Will - Free Action,The attacker loses Hit Points equal to Tick of Hit Points.,The user is hit by a damaging Melee Attack,,,"Trigger - The user is hit by a damaging Melee Attack
The attacker loses Hit Points equal to Tick of Hit Points."
Iron Fist,Static,"The user increases the Damage Base of the following Moves by +2; Bullet Punch, Comet Punch, Dizzy Punch, Drain Punch, Dynamic Punch, Fire Punch, Meteor Mash, Shadow Punch, Ice Punch, Mach Punch, Mega Punch, Sky Uppercut, Thunder Punch, Focus Punch, Hammer Arm, and Power-Up Punch.",,,,"The user increases the Damage Base of the following Moves by +2; Bullet Punch, Comet Punch, Dizzy Punch, Drain Punch, Dynamic Punch, Fire Punch, Meteor Mash, Shadow Punch, Ice Punch, Mach Punch, Mega Punch, Sky Uppercut, Thunder Punch, Focus Punch, Hammer Arm, and Power-Up Punch."
Justified,At-Will - Free Action,The user may raise its Attack 1 Combat Stage. The user always gains a +4 bonus to Skill Checks made to Intercept.,The user is hit by a damaging Dark Type Move,,,"Trigger - The user is hit by a damaging Dark Type Move
The user may raise its Attack 1 Combat Stage. The user always gains a +4 bonus to Skill Checks made to Intercept."
Kampfgeist,Static,The user gainst STAB on Fighting Type Moves.,,,,The user gainst STAB on Fighting Type Moves.
Keen Eye,Static,"The user’s Accuracy cannot be lowered, their attacks cannot have Accuracy Penalties (such as from Illuminate), the user is immune to the Blind condition (but not Total Blindness), and the user ignores any Evasion not directly derived from Stats (such as from the Instinct Ability, or from moves like Minimize).",,,,"The user’s Accuracy cannot be lowered, their attacks cannot have Accuracy Penalties (such as from Illuminate), the user is immune to the Blind condition (but not Total Blindness), and the user ignores any Evasion not directly derived from Stats (such as from the Instinct Ability, or from moves like Minimize)."
Klutz,Static,"The Pokémon ignores the effects of all held Items in its possession. The user may drop Held Items At-Will as a Free Action during their turn, even if they have Status Afflictions that prevent them from taking actions.",,,,"The Pokémon ignores the effects of all held Items in its possession. The user may drop Held Items At-Will as a Free Action during their turn, even if they have Status Afflictions that prevent them from taking actions."
Klutz [SwSh],Scene – Free Action,"Choose one of the target’s Held Items or Accessory Slot Items. It is knocked to the ground.
Bonus: The Pokémon ignores the effects of all held Items in its possession. The user may drop Held Items At-Will as a Free Action during their turn, even if they have Status Afflictions that prevent them from taking actions.
",The user hits with a Melee Attack,,,"Trigger - The user hits with a Melee Attack
Choose one of the target’s Held Items or Accessory Slot Items. It is knocked to the ground.
Bonus: The Pokémon ignores the effects of all held Items in its possession. The user may drop Held Items At-Will as a Free Action during their turn, even if they have Status Afflictions that prevent them from taking actions.
"
Landslide,Static,The user gains Last Chance with Ground.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Ground."
Last Chance,Static,The user gains Last Chance with Normal.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Normal."
Leaf Gift,Daily - Extended Action,"The user is adept at crafting clothes for itself out of common leaves. As an extended action, the user may craft a Leaf Suit listed below by activating this Ability; each suit has different effects on the user. The user may only wear one Leaf Suit at a time; building a new suit destroys previous suits.

Nourishing Suit - Effect: Grants the Sun Blanket and Leaf Guard Abilities.
Heavy Suit - Effect: Grants the Sturdy and Overcoat Abilities.
Vibrant Suit - Effect: Grants the Chlorophyll and Photosynthesis Abilities.",,,,"The user is adept at crafting clothes for itself out of common leaves. As an extended action, the user may craft a Leaf Suit listed below by activating this Ability; each suit has different effects on the user. The user may only wear one Leaf Suit at a time; building a new suit destroys previous suits.

Nourishing Suit - Effect: Grants the Sun Blanket and Leaf Guard Abilities.
Heavy Suit - Effect: Grants the Sturdy and Overcoat Abilities.
Vibrant Suit - Effect: Grants the Chlorophyll and Photosynthesis Abilities."
Leaf Guard,Static,"At the end of the User's turn, if the weather is Sunny, the user is cured of one Status Condition.",,,,"At the end of the User's turn, if the weather is Sunny, the user is cured of one Status Condition."
Leek Mastery,Static,"Connection - Acrobatics. If the user is holding a Rare Leek, they may still use Acrobatics as if they were not holding an item. The user cannot be disarmed of their Stick, nor can be it be forcefully removed by Trick, Switcheroo, Thief, or any other Moves or effects unless the user wishes it.",,,,"Connection - Acrobatics. If the user is holding a Rare Leek, they may still use Acrobatics as if they were not holding an item. The user cannot be disarmed of their Stick, nor can be it be forcefully removed by Trick, Switcheroo, Thief, or any other Moves or effects unless the user wishes it."
Levitate,Static,"The Pokémon is immune to the damage and effects of Ground Type Moves, and gains a Levitate Speed of 4, or has existing Levitate Speeds increased by +2. Defensive.",,,,"The Pokémon is immune to the damage and effects of Ground Type Moves, and gains a Levitate Speed of 4, or has existing Levitate Speeds increased by +2. Defensive."
Life Force,Daily x5 - Swift Action,The user gains a Tick of Hit Points.,,,,The user gains a Tick of Hit Points.
Light Metal,Static,"When referring to Weight Classes, treat the Pokémon as if it is 2 Weight Classes lower.",,,,"When referring to Weight Classes, treat the Pokémon as if it is 2 Weight Classes lower."
Lightning Kicks,Scene -  Free Action,"The user may activate this Ability to use any Move with ""Kick"" in the name as a Priority Move.",,,,"The user may activate this Ability to use any Move with ""Kick"" in the name as a Priority Move."
Lightning Rod,Scene -  Free Action,"The Move is turned into a Single-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. Additionally, the user is immune to the damage and effects of Electric Type attacks, and each time they are hit by an Electric attack, the user’s Special Attack is raised 1 Combat Stage. Defensive.",A ranged Electric Type Move is used within 10 Meters of the user.,,,"Trigger - A ranged Electric Type Move is used within 10 Meters of the user.
The Move is turned into a Single-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. Additionally, the user is immune to the damage and effects of Electric Type attacks, and each time they are hit by an Electric attack, the user’s Special Attack is raised 1 Combat Stage. Defensive."
Limber,Static,The user is immune to Paralysis. Defensive.,,,,The user is immune to Paralysis. Defensive.
Liquid Ooze,Static,"When the Pokémon with Liquid Ooze is damaged by Absorb, Drain Punch, Giga Drain, Horn Leech, Leech Life, Leech Seed or Mega Drain, that Move gains Recoil ½ and the Move’s user does not gain any HP.",,,,"When the Pokémon with Liquid Ooze is damaged by Absorb, Drain Punch, Giga Drain, Horn Leech, Leech Life, Leech Seed or Mega Drain, that Move gains Recoil ½ and the Move’s user does not gain any HP."
Lullaby,Scene - Free Action,"Connection - Sing. Whenever the user uses the Move “Sing”, they may activate this Feature. The user then picks a Pokémon or Trainer being targeted by Sing; Sing automatically hits that target.",,,,"Connection - Sing. Whenever the user uses the Move “Sing”, they may activate this Feature. The user then picks a Pokémon or Trainer being targeted by Sing; Sing automatically hits that target."
Lunchbox,Scene -  Free Action,The user gains 5 Temporary Hit Points. These Temporary Hit Points stack with any Temporary Hit Points granted by the triggering Buff.,The user trades in a Digestion/Food Buff,,,"Trigger - The user trades in a Digestion/Food Buff
The user gains 5 Temporary Hit Points. These Temporary Hit Points stack with any Temporary Hit Points granted by the triggering Buff."
Mach Speed,Static,The user gains Last Chance with Flying.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Flying."
Magic Bounce,Scene -  Free Action,The user may reflect the Move back to the attacker. This Ability may be used to change the placement and affiliation of any Hazards being set within 10 meters of the user as well. Defensive.,The user is hit by a Status Move,,,"Trigger - The user is hit by a Status Move
The user may reflect the Move back to the attacker. This Ability may be used to change the placement and affiliation of any Hazards being set within 10 meters of the user as well. Defensive."
Magic Guard,Static,"The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes, Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed. Defensive.",,,,"The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes, Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed. Defensive."
Magician,Scene - Free Action,The user takes the target’s Held Item. This Ability may not be triggered if the user is already holding a Held Item.,The user hits a foe with a damaging Single-Target attack,,,"Trigger - The user hits a foe with a damaging Single-Target attack
The user takes the target’s Held Item. This Ability may not be triggered if the user is already holding a Held Item."
Magma Armor,Static,The user cannot be Frozen. Defensive.,,,,The user cannot be Frozen. Defensive.
Magnet Pull,At-Will - Swift Action,"Until the end of the user's next turn, the target may not move more then 8-meters away from the user and/or may not move closer than 3-meters to the user.",,A Steel-Type Pokémon,,"Target - A Steel-Type Pokémon
Until the end of the user's next turn, the target may not move more then 8-meters away from the user and/or may not move closer than 3-meters to the user."
Marvel Scale,Static,"When Asleep, Paralyzed, Burned, Frozen or Poisoned, Marvel Scale raises the user’s Defense by +2 Combat Stages. The Combat Stages return to Normal if the user is cured of their status affliction.",,,,"When Asleep, Paralyzed, Burned, Frozen or Poisoned, Marvel Scale raises the user’s Defense by +2 Combat Stages. The Combat Stages return to Normal if the user is cured of their status affliction."
Mega Launcher,Static,"The user increases the Damage Base of Aura Sphere, Dark Pulse, Dragon Pulse, and Water Pulse by +2.",,,,"The user increases the Damage Base of Aura Sphere, Dark Pulse, Dragon Pulse, and Water Pulse by +2."
Memory Wipe,Scene - Special,"The user selects a Pokémon or Trainer within 10 meters. If used as a Swift Action, the last Move used by the target becomes Disabled. If used as a Standard Action, the target is Flinched. If used as an Extended Action that takes about 1 minute, it can erase up to 5 minutes that have occurred within the last 30 minutes from the target’s memory.",,,,"The user selects a Pokémon or Trainer within 10 meters. If used as a Swift Action, the last Move used by the target becomes Disabled. If used as a Standard Action, the target is Flinched. If used as an Extended Action that takes about 1 minute, it can erase up to 5 minutes that have occurred within the last 30 minutes from the target’s memory."
Migraine,Static,"Whenever the user is at 50% Hit Points or less, they gain the Telekinetic Capability and may add STAB to Psychic Type Moves.",,,,"Whenever the user is at 50% Hit Points or less, they gain the Telekinetic Capability and may add STAB to Psychic Type Moves."
Mimitree,Static,"Connection - Mimic. Whenever the user uses a Move copied by Mimic, they may choose to replace that Move with Mimic once more. When used this way, the user ignores Mimic's Frequency.",,,,"Connection - Mimic. Whenever the user uses a Move copied by Mimic, they may choose to replace that Move with Mimic once more. When used this way, the user ignores Mimic's Frequency."
Mind Mold,Static,The user gains Last Chance with Psychic.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Psychic."
Mini-Noses,Daily - Standard Action,"The user detaches up to three Mini-Noses from themselves and places them adjacent to them on the battlefield. These Mini-Noses have HP equal to the user’s level but otherwise uses their user’s stats. Each Mini-Nose has a Levitate Speed of 4. The user may Shift them each round on their turn, and they may originate any Ranged Move from one of the Mini-Noses instead of themselves if they choose. If a Mini-Nose is reduced to 0 HP, it is destroyed and takes a full 24 hours to regrow, one at a time. If the user has less than three grown Mini-Noses, then this ability can only place as many on the field as are available. All Mini-Noses deactivate, but are not destroyed, if the user is Fainted. Mini-Noses cannot be made to Shift more than 5 meters away from the user; if they are forced farther away, they will automatically Shift toward the user on the user’s turn.",,,,"The user detaches up to three Mini-Noses from themselves and places them adjacent to them on the battlefield. These Mini-Noses have HP equal to the user’s level but otherwise uses their user’s stats. Each Mini-Nose has a Levitate Speed of 4. The user may Shift them each round on their turn, and they may originate any Ranged Move from one of the Mini-Noses instead of themselves if they choose. If a Mini-Nose is reduced to 0 HP, it is destroyed and takes a full 24 hours to regrow, one at a time. If the user has less than three grown Mini-Noses, then this ability can only place as many on the field as are available. All Mini-Noses deactivate, but are not destroyed, if the user is Fainted. Mini-Noses cannot be made to Shift more than 5 meters away from the user; if they are forced farther away, they will automatically Shift toward the user on the user’s turn."
Minus,Scene -  Free Action,The target's Special Attack is raised by +2 Combat Stages.,,An ally with Plus within 10 Meters,,"Target - An ally with Plus within 10 Meters
The target's Special Attack is raised by +2 Combat Stages."
Minus [SwSh],"Scene x2 – Free Action, Reaction",The target loses an additional Combat Stage in one stat lowered by the triggering effect.,A foe within 10m has Combat Stages lowered,,,"Trigger - A foe within 10m has Combat Stages lowered
The target loses an additional Combat Stage in one stat lowered by the triggering effect."
Miracle Mile,Static,The user gains Last Chance with Fairy.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Fairy."
Mojo,Static,Normal Types are not immune to the user's Ghost Type Moves.,,,,Normal Types are not immune to the user's Ghost Type Moves.
Mold Breaker,Static,The user ignores the effect of enemies’ Defensive Abilities.,,,,The user ignores the effect of enemies’ Defensive Abilities.
Moody,At-Will - Free Action,"Moody must be activated whenever it is triggered. Roll 1d10 to determine a Stat to be raised by +2 Combat Stages, then roll 1d10 to determine a Stat to be lower 2 Combat Stages. 1 or 2 is Attack, 3 or 4 is Defense, 5 or 6 is Special Attack, 7 or 8 is Special Defense, 9 or 10 is Speed.","The user joins an encounter, misses with a Move, or hurts itself in Confusion",,,"Trigger - The user joins an encounter, misses with a Move, or hurts itself in Confusion
Moody must be activated whenever it is triggered. Roll 1d10 to determine a Stat to be raised by +2 Combat Stages, then roll 1d10 to determine a Stat to be lower 2 Combat Stages. 1 or 2 is Attack, 3 or 4 is Defense, 5 or 6 is Special Attack, 7 or 8 is Special Defense, 9 or 10 is Speed."
Motor Drive,Static,"The user is immune to the damage and effects of Electric Type attacks. Whenever an Electric Type attack hits the Pokémon, raise their Speed by +1 Combat Stage. Defensive.",,,,"The user is immune to the damage and effects of Electric Type attacks. Whenever an Electric Type attack hits the Pokémon, raise their Speed by +1 Combat Stage. Defensive."
Mountain Peak,Static,The user gains Last Chance with Rock.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Rock."
Moxie,Static,"Whenever the user’s Move causes a target to faint, it may raise its Attack Combat Stage by +1. You may only trigger Moxie once per Move, even if the Move causes multiple targets to faint.",,,,"Whenever the user’s Move causes a target to faint, it may raise its Attack Combat Stage by +1. You may only trigger Moxie once per Move, even if the Move causes multiple targets to faint."
Mud Dweller,Static,The user resists Ground-Type and Water-Type attacks one step further.,,,,The user resists Ground-Type and Water-Type attacks one step further.
Multiscale,Static,"When at full Hit Points, when taking damage from a Move, half the total damage before applying weakness and resistance, after applying your Defenses. Defensive.",,,,"When at full Hit Points, when taking damage from a Move, half the total damage before applying weakness and resistance, after applying your Defenses. Defensive."
Multitype,At Will - Free Action,The user changes its Elemental Type to any of the Elemental Types. Multitype cannot be copied or disabled.,,,,The user changes its Elemental Type to any of the Elemental Types. Multitype cannot be copied or disabled.
Mummy,Daily – Free Action,Replace all of the Attacker’s Abilities with Mummy until the end of the encounter.,The user is hit by a Melee Attack,,,"Trigger - The user is hit by a Melee Attack
Replace all of the Attacker’s Abilities with Mummy until the end of the encounter."
Natural Cure,Scene - Free Action,"Whenever the user is returned to its Poké Ball or Takes A Breather, it may activate Natural Cure to cure itself of all Persistent Status Afflictions.",,,,"Whenever the user is returned to its Poké Ball or Takes A Breather, it may activate Natural Cure to cure itself of all Persistent Status Afflictions."
No Guard,Static,"The user may not apply any form of Evasion to avoiding melee attacks; however, the user ignores all forms of evasion when making Melee attack rolls.",,,,"The user may not apply any form of Evasion to avoiding melee attacks; however, the user ignores all forms of evasion when making Melee attack rolls."
Normalize,Static,All Moves performed by the Pokémon are considered Normal Type instead of whatever Type they normally are.,,,,All Moves performed by the Pokémon are considered Normal Type instead of whatever Type they normally are.
Oblivious,Static,The user is immune to the Enraged and Infatuated conditions. Defensive.,,,,The user is immune to the Enraged and Infatuated conditions. Defensive.
Odious Spray,Scene -  Free Action,"Connection - Poison Gas. The user may activate this Ability when using Poison Gas to cause Poison Gas to be a single target attack with a range of 8. When used this way, Poison Gas has an AC of 2, and also flinches its target if it hits.",,,,"Connection - Poison Gas. The user may activate this Ability when using Poison Gas to cause Poison Gas to be a single target attack with a range of 8. When used this way, Poison Gas has an AC of 2, and also flinches its target if it hits."
Omen,Scene - Swift Action,Choose a Pokémon or Trainer within 5 meters. The target's Accuracy is lowered by 2.,,,,Choose a Pokémon or Trainer within 5 meters. The target's Accuracy is lowered by 2.
Overcharge,Static,The user gains Last Chance with Electric.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Electric."
Overcoat,Static,"The user is immune to Moves with the Powder Keyword, and does not take damage from any Weather that would normally cause it to take damage. Defensive.",,,,"The user is immune to Moves with the Powder Keyword, and does not take damage from any Weather that would normally cause it to take damage. Defensive."
Overgrow,Static,The user gains Last Chance with Grass.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Grass."
Own Tempo,Static,The user is immune to Confusion. Defensive.,,,,The user is immune to Confusion. Defensive.
Pack Hunt,At Will - Free Action,"The user may make a Physical Attack with an AC of 5 against the triggering foe. If the attack hits, the foe loses a Tick of Hit Points.",An adjacent foe is damaged by an ally's Melee attack.,,,"Trigger - An adjacent foe is damaged by an ally's Melee attack.
The user may make a Physical Attack with an AC of 5 against the triggering foe. If the attack hits, the foe loses a Tick of Hit Points."
Parental Bond,Static,"Only Kangaskhan with the Baby Template can be Mega Evolved and gain this Ability. While they have this Ability, the Baby gains 10 Damage Reduction, and will leave its mother’s pouch and may be commanded to take action in battle. Both the Baby Kangaskhan with this Ability and its Mother may take their turn when the Mother takes its turn; the Baby will not willingly walk farther than 10 meters from its mother however. If the Baby Kangaskhan with this Ability is Fainted, its mother will become Enraged, and gain 5 Damage Reduction and +5 to Damage Rolls for the remainder of the Scene.",,,,"Only Kangaskhan with the Baby Template can be Mega Evolved and gain this Ability. While they have this Ability, the Baby gains 10 Damage Reduction, and will leave its mother’s pouch and may be commanded to take action in battle. Both the Baby Kangaskhan with this Ability and its Mother may take their turn when the Mother takes its turn; the Baby will not willingly walk farther than 10 meters from its mother however. If the Baby Kangaskhan with this Ability is Fainted, its mother will become Enraged, and gain 5 Damage Reduction and +5 to Damage Rolls for the remainder of the Scene."
Parry,Scene -  Free Action,The attack instead misses. Defensive.,The user is hit by a Melee Attack,,,"Trigger - The user is hit by a Melee Attack
The attack instead misses. Defensive."
Perception,"At-Will – Shift Action, Interrupt",You may Shift to remove yourself from the area-of-effect.,An ally uses an area-of-effect attack that would hit you,,,"Trigger - An ally uses an area-of-effect attack that would hit you
You may Shift to remove yourself from the area-of-effect."
Permafrost,Static,"The user gains 5 Damage Reduction against Super-Effective Damage. Additionally, whenever the user would lose a Tick of Hit Points due to an effect such as Sandstorm or the Burn Status condition, subtract 5 from the amount of Hit Points lost. Defensive.",,,,"The user gains 5 Damage Reduction against Super-Effective Damage. Additionally, whenever the user would lose a Tick of Hit Points due to an effect such as Sandstorm or the Burn Status condition, subtract 5 from the amount of Hit Points lost. Defensive."
Photosynthesis,Daily - Extended Action,"If the user is allowed to bask in normal sunlight for at least 10 minutes, they may heal up to 25% of their Max Hit Points, and remove one Injury.",,,,"If the user is allowed to bask in normal sunlight for at least 10 minutes, they may heal up to 25% of their Max Hit Points, and remove one Injury."
Pickpocket,Scene -  Free Action,"If the opponent has a Held Item and the user does not, the user takes the Held Item the opponent is holding.",The user is hit by an opponent with a Melee Move,,,"Trigger - The user is hit by an opponent with a Melee Move
If the opponent has a Held Item and the user does not, the user takes the Held Item the opponent is holding."
Pickup,Daily - Extended Action,"You may use Pickup as an Extended Action that requires at least 5 minutes. Roll 1d20, consult the Pickup keyword to figure out what you find!",,,,"You may use Pickup as an Extended Action that requires at least 5 minutes. Roll 1d20, consult the Pickup keyword to figure out what you find!"
Pixilate,At-Will - Free Action,The Move is changed to be Fairy-Type.,The user uses a Normal Type damaging Move.,,,"Trigger - The user uses a Normal Type damaging Move.
The Move is changed to be Fairy-Type."
Plus,Scene -  Free Action,The target's Special Attack is raised by +2 Combat Stages.,,An ally with Minus within 10 Meters,,"Target - An ally with Minus within 10 Meters
The target's Special Attack is raised by +2 Combat Stages."
Plus [SwSh],"Scene x2 – Free Action, Reaction",The target gains an additional Combat Stage in one stat raised by the triggering effect.,An ally within 10m has Combat Stages raised,,,"Trigger - An ally within 10m has Combat Stages raised
The target gains an additional Combat Stage in one stat raised by the triggering effect."
Poison Heal,Daily - Free Action,"For the rest of the encounter, while Poisoned or Badly Poisoned, the user gains a Tick of Hit Points at the beginning of each turn instead of losing any Hit Points from Poison. At the end of the encounter, the user is cured of the Poison Status. Additionally, the user does not have any Combat Stages lowered from being Poisoned.",The user becomes Poisoned.,,,"Trigger - The user becomes Poisoned.
For the rest of the encounter, while Poisoned or Badly Poisoned, the user gains a Tick of Hit Points at the beginning of each turn instead of losing any Hit Points from Poison. At the end of the encounter, the user is cured of the Poison Status. Additionally, the user does not have any Combat Stages lowered from being Poisoned."
Poison Point,Scene -  Free Action,The attacking foe is Poisoned.,The user is hit by a Melee Move,,,"Trigger - The user is hit by a Melee Move
The attacking foe is Poisoned."
Poison Touch,Static,"The Pokémon’s Moves which deal damage Poison Legal Targets on 19+. If a move already has a chance of Poisoning foes, Poison Touch increases the effect range by +2.",,,,"The Pokémon’s Moves which deal damage Poison Legal Targets on 19+. If a move already has a chance of Poisoning foes, Poison Touch increases the effect range by +2."
Poltergeist,Static,"Rotom gains an Ability and a Move depending on what Form it has taken. This Move cannot be forgotten or replaced in any way.

Standard Rotom: Move - Thunder Shock. Ability - Levitate.
Heat Rotom: Move- Overheat. Ability - Levitate.
Wash Rotom: Move - Hydro Pump. Ability - Aqua Boost.
Frost Rotom: Move - Blizzard. Ability - Frostbite.
Fan Rotom: Move - Air Slash. Ability - Keen Eye
Mow Rotom: Move - Leaf Storm. Ability - Grass Pelt.",,,,"Rotom gains an Ability and a Move depending on what Form it has taken. This Move cannot be forgotten or replaced in any way.

Standard Rotom: Move - Thunder Shock. Ability - Levitate.
Heat Rotom: Move- Overheat. Ability - Levitate.
Wash Rotom: Move - Hydro Pump. Ability - Aqua Boost.
Frost Rotom: Move - Blizzard. Ability - Frostbite.
Fan Rotom: Move - Air Slash. Ability - Keen Eye
Mow Rotom: Move - Leaf Storm. Ability - Grass Pelt."
Polycephaly,Static,The user may make Struggle Attacks as a Swift Action. Struggle Attacks made this way are resisted one step further than they normally would be.,,,,The user may make Struggle Attacks as a Swift Action. Struggle Attacks made this way are resisted one step further than they normally would be.
Prankster,Static,The user may use Status Moves as Priority (Advanced).,,,,The user may use Status Moves as Priority (Advanced).
Pressure,Static,"While within 3 meters of the user, all foes are Suppressed. This effect ends when the user is Fainted.",,,,"While within 3 meters of the user, all foes are Suppressed. This effect ends when the user is Fainted."
Pride,Static,"While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user’s Special Attack is raised 2 Combat Stages. If suffering from none of these conditions, the user loses any Combat Stages gained this way.",,,,"While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user’s Special Attack is raised 2 Combat Stages. If suffering from none of these conditions, the user loses any Combat Stages gained this way."
Prime Fury,Scene - Swift Action,"The user becomes Enraged, and gains +1 Attack Combat Stage.",,,,"The user becomes Enraged, and gains +1 Attack Combat Stage."
Probability Control,Scene - Free Action,"The user may reroll any roll, or have any ally reroll any roll that has been made. This leaves discoverable Psychic residue.",,Any roll made by yourself or an ally.,,"Target - Any roll made by yourself or an ally.
The user may reroll any roll, or have any ally reroll any roll that has been made. This leaves discoverable Psychic residue."
Protean,At-Will -  Swift Action,"The user’s Type changes to match the Type of the triggering Move. This Ability resolves before the Move is resolved (And thus you may apply STAB, and trigger other Features and Abilities appropriately).",The user uses a Move.,,,"Trigger - The user uses a Move.
The user’s Type changes to match the Type of the triggering Move. This Ability resolves before the Move is resolved (And thus you may apply STAB, and trigger other Features and Abilities appropriately)."
Pumpkingrab,Static,"The user gains a +4 bonus to Accuracy Checks of Struggle Attacks made to initiate Grapple, and a +3 Bonus to Skill Checks made to initiate a Grapple.",,,,"The user gains a +4 bonus to Accuracy Checks of Struggle Attacks made to initiate Grapple, and a +3 Bonus to Skill Checks made to initiate a Grapple."
Pure Blooded,Static,The user gains Last Chance with Dragon.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Dragon."
Pure Power,Static,"The Pokémon's base attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Features.",,,,"The Pokémon's base attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Features."
Quick Cloak,At-Will - Standard Action,"Burmy quickly builds a cloak out of nearby materials; using leaves and twigs will give it a Grass Plant Cloak, using sand and rocks will give it a Ground Sandy Cloak, and using trash or scrap will give it a Steel Trash Cloak. While in a Cloak, Burmy gains the Type associated with the Cloak as a secondary Typing, which will become permanent upon evolution into Wormadam. Cloaks are destroyed if Burmy is hit for Super-Effective Damage, or if Burmy makes a new Cloak.",,,,"Burmy quickly builds a cloak out of nearby materials; using leaves and twigs will give it a Grass Plant Cloak, using sand and rocks will give it a Ground Sandy Cloak, and using trash or scrap will give it a Steel Trash Cloak. While in a Cloak, Burmy gains the Type associated with the Cloak as a secondary Typing, which will become permanent upon evolution into Wormadam. Cloaks are destroyed if Burmy is hit for Super-Effective Damage, or if Burmy makes a new Cloak."
Quick Curl,Scene -  Free Action,Connection - Defense Curl. The user may activate this Ability to use Defense Curl as a Swift Action.,,,,Connection - Defense Curl. The user may activate this Ability to use Defense Curl as a Swift Action.
Quick Feet,Static,"When Poisoned, Burned, Paralyzed, Frozen or put to Sleep, the user’s Speed is raised 2 Combat Stages. The user does not lose Speed Combat Stages from Paralysis. If the user is healed all Status Conditions, their Speed is lowered appropriately.",,,,"When Poisoned, Burned, Paralyzed, Frozen or put to Sleep, the user’s Speed is raised 2 Combat Stages. The user does not lose Speed Combat Stages from Paralysis. If the user is healed all Status Conditions, their Speed is lowered appropriately."
Rain Dish,Static,"While Rainy, the user gains a Tick of Hit Points at the beginning of each of their turns.",,,,"While Rainy, the user gains a Tick of Hit Points at the beginning of each of their turns."
Rally,Scene - Swift Action,"All allies within 10 meters may immediately shift 1 Meter in any direction they wish. Rally does not work on sleeping, flinched, stuck, fainted, or otherwise incapacitated allies. Rally does not work on the user.",,,,"All allies within 10 meters may immediately shift 1 Meter in any direction they wish. Rally does not work on sleeping, flinched, stuck, fainted, or otherwise incapacitated allies. Rally does not work on the user."
Rattled,At-Will - Free Action,The user's Speed is raised by +1 Combat Stage.,"The user is hit by a Bug, Dark, or Ghost Type Move",,,"Trigger - The user is hit by a Bug, Dark, or Ghost Type Move
The user's Speed is raised by +1 Combat Stage."
Razor Edge,Static,"Connection - Poison Tail. The user's Critical Hit Range on all Moves is increased by +2; any Moves with ""Tail"" in their name have their Critical Hit Range increased by +3 instead.",,,,"Connection - Poison Tail. The user's Critical Hit Range on all Moves is increased by +2; any Moves with ""Tail"" in their name have their Critical Hit Range increased by +3 instead."
Reckless,Static,"Increase the Damage Base of the moves Jump Kick, Hi Jump Kick, and moves with the Recoil Keyword by +2.",,,,"Increase the Damage Base of the moves Jump Kick, Hi Jump Kick, and moves with the Recoil Keyword by +2."
Refreshing Veil,Scene - Free Action,"Connection – Aqua Ring. Whenever the user activates Aqua Ring, they may activate this Feature to cure themselves of all Persistent Status Effects.",,,,"Connection – Aqua Ring. Whenever the user activates Aqua Ring, they may activate this Feature to cure themselves of all Persistent Status Effects."
Refridgerate,At-Will - Free Action,The Move is changed to be Ice Type.,The user uses a Normal Type Damaging Move.,,,"Trigger - The user uses a Normal Type Damaging Move.
The Move is changed to be Ice Type."
Regal Challenge,Scene -  Swift Action,"Make an AC4 Status Attack against the target. If the attack hits, lower the target’s Speed by 1 Combat Stage and the target is Slowed. If the attack misses, raise the user’s Attack and Special Attack by +1 Combat Stage each.",,Pokémon or Trainer within 5 Meters,,"Target - Pokémon or Trainer within 5 Meters
Make an AC4 Status Attack against the target. If the attack hits, lower the target’s Speed by 1 Combat Stage and the target is Slowed. If the attack misses, raise the user’s Attack and Special Attack by +1 Combat Stage each."
