Pokemon:,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type 1,Type 2,Overland,Sky,Swim,Levitate,Burrow,H Jump,L Jump,Power,Naturewalk,Capability 1,Capability 2,Capability 3,Capability 4,Capability 5,Capability 6,Capability 7,Capability 8,Capability 9,Size,Weight,EggGroup1,EggGroup2,Type1,Type2
Honedge,5,8,10,4,4,3,Ghost,Steel,1,0,2,4,0,0,1,2,-,Phasing,Invisibility,Dead Silent,Living Weapon,Underdog,-,-,-,-,Small,1,Mineral,-,Ghost,Steel
Hoopa,8,11,6,15,13,7,Psychic,Ghost,3,0,0,5,0,2,2,2,-,Teleporter 10,Darkvision,Confined,Forme Change,-,-,-,-,-,Small,1,None,-,Psychic,Ghost
Hoopa-C,8,11,6,15,13,7,Psychic,Ghost,3,0,0,5,0,2,2,2,-,Teleporter 10,Darkvision,Confined,Forme Change,-,-,-,-,-,Small,1,None,-,Psychic,Ghost
Hoopa (C),8,11,6,15,13,7,Psychic,Ghost,3,0,0,5,0,2,2,2,-,Teleporter 10,Darkvision,Confined,Forme Change,-,-,-,-,-,Small,1,None,-,Psychic,Ghost
Hoopa (Con),8,11,6,15,13,7,Psychic,Ghost,3,0,0,5,0,2,2,2,-,Teleporter 10,Darkvision,Confined,Forme Change,-,-,-,-,-,Small,1,None,-,Psychic,Ghost
Hoopa (Confined),8,11,6,15,13,7,Psychic,Ghost,3,0,0,5,0,2,2,2,-,Teleporter 10,Darkvision,Confined,Forme Change,-,-,-,-,-,Small,1,None,-,Psychic,Ghost
Hoopa-B,8,11,6,15,13,7,Psychic,Ghost,3,0,0,5,0,2,2,2,-,Teleporter 10,Darkvision,Confined,Forme Change,-,-,-,-,-,Small,1,None,-,Psychic,Ghost
Hoopa (B),8,11,6,15,13,7,Psychic,Ghost,3,0,0,5,0,2,2,2,-,Teleporter 10,Darkvision,Confined,Forme Change,-,-,-,-,-,Small,1,None,-,Psychic,Ghost
Hoopa-Bound,8,11,6,15,13,7,Psychic,Ghost,3,0,0,5,0,2,2,2,-,Teleporter 10,Darkvision,Confined,Forme Change,-,-,-,-,-,Small,1,None,-,Psychic,Ghost
Hoopa (Bound),8,11,6,15,13,7,Psychic,Ghost,3,0,0,5,0,2,2,2,-,Teleporter 10,Darkvision,Confined,Forme Change,-,-,-,-,-,Small,1,None,-,Psychic,Ghost
Hoopa-U,8,16,6,17,13,8,Psychic,Dark,10,0,5,0,0,4,4,9,-,Teleporter 8,Darkvision,-,-,-,-,-,-,-,Gigantic,6,None,-,Psychic,Dark
Hoopa (U),8,16,6,17,13,8,Psychic,Dark,10,0,5,0,0,4,4,9,-,Teleporter 8,Darkvision,-,-,-,-,-,-,-,Gigantic,6,None,-,Psychic,Dark
Hoopa (Un),8,16,6,17,13,8,Psychic,Dark,10,0,5,0,0,4,4,9,-,Teleporter 8,Darkvision,-,-,-,-,-,-,-,Gigantic,6,None,-,Psychic,Dark
Hoopa Unbound,8,16,6,17,13,8,Psychic,Dark,10,0,5,0,0,4,4,9,-,Teleporter 8,Darkvision,-,-,-,-,-,-,-,Gigantic,6,None,-,Psychic,Dark
Hoopa-Unbound,8,16,6,17,13,8,Psychic,Dark,10,0,5,0,0,4,4,9,-,Teleporter 8,Darkvision,-,-,-,-,-,-,-,Gigantic,6,None,-,Psychic,Dark
Hoopa (Unbound),8,16,6,17,13,8,Psychic,Dark,10,0,5,0,0,4,4,9,-,Teleporter 8,Darkvision,-,-,-,-,-,-,-,Gigantic,6,None,-,Psychic,Dark
Hoothoot,6,3,3,4,6,5,Normal,Flying,3,4,1,0,0,3,3,1,-,Darkvision,Underdog,-,-,-,-,-,-,-,Small,2,Flying,-,Normal,Flying
Hoppip,4,4,4,4,6,5,Grass,Flying,2,3,2,0,0,2,2,1,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Fairy,Plant,Grass,Flying
Horsea,3,4,7,7,3,6,Water,,2,0,5,0,0,1,1,1,Ocean,Fountain,Gilled,Underdog,-,-,-,-,-,-,Small,1,Water 1,Dragon,Water,None
Houndoom,8,9,5,11,8,10,Dark,Fire,7,0,4,0,0,1,2,5,Mountain,Darkvision,Tracker,-,-,-,-,-,-,-,Medium,3,Field,-,Dark,Fire
Houndour,5,6,3,8,5,7,Dark,Fire,5,0,3,0,0,1,1,2,Mountain,Darkvision,Tracker,Underdog,-,-,-,-,-,-,Small,1,Field,-,Dark,Fire
Huntail,6,10,11,9,8,5,Water,,2,0,6,0,0,2,2,3,Ocean,Gilled,Fountain,-,-,-,-,-,-,-,Medium,3,Water 1,-,Water,None
Hydreigon,9,11,9,13,9,10,Dark,Dragon,1,7,4,7,0,2,2,6,-,Blindsense,Mind Lock,Mountable 1,-,-,-,-,-,-,Large,5,Dragon,-,Dark,Dragon
Hypno,9,7,7,7,12,7,Psychic,,5,0,2,0,0,1,1,6,Grassland,Mind Lock,Dream Reader,-,-,-,-,-,-,-,Medium,4,Humanshape,-,Psychic,None
Igglybuff,9,3,2,4,2,2,Normal,Fairy,3,0,2,0,0,1,1,1,"Grassland, Urban",Inflatable,Underdog,-,-,-,-,-,-,-,Small,1,Fairy,-,Normal,Fairy
Illumise,7,5,6,7,8,9,Bug,,3,5,3,0,0,2,2,2,-,Glow,Wallclimber,Underdog,-,-,-,-,-,-,Small,2,Bug,Humanshape,Bug,None
Infernape,8,10,7,10,7,10,Fire,Fight,8,0,4,0,0,3,4,8,"Forest, Mountain",Firestarter,Heater,Glow,-,-,-,-,-,-,Medium,4,Field,Humanshape,Fire,Fighting
Inkay,5,5,5,4,5,5,Psychic,Dark,1,0,5,4,0,0,1,1,-,Gilled,Glow,Mindlock,Telekinetic,Telepath,Underdog,-,-,-,Small,1,Water 1,Water 2,Dark,Psychic
Ivysaur,6,6,6,8,8,6,Grass,Poison,6,0,3,0,0,1,1,3,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Medium,2,Monster,Plant,Grass,Poison
Jellicent,10,6,7,9,11,6,Water,Ghost,1,0,6,0,0,2,2,3,Ocean,Darkvision,Dead Silent,Fountain,Invisibility,-,-,-,-,-,Large,5,Indeterminate,-,Water,Ghost
Jigglypuff,12,5,2,5,3,2,Normal,Fairy,5,0,2,0,0,1,1,1,"Grassland, Urban",Inflatable,Underdog,-,-,-,-,-,-,-,Small,1,Fairy,-,Normal,Fairy
Jirachi,10,10,10,10,10,10,Steel,Psychic,6,7,4,0,0,2,2,2,-,Aura Reader,Glow,Telekinetic,Telepath,-,-,-,-,-,Small,1,None,-,Steel,Psychic
Jolteon,7,7,6,11,10,13,Electric,,10,0,5,0,0,2,3,3,-,Tracker,Zapper,-,-,-,-,-,-,-,Medium,2,Field,-,Electric,None
Joltik,5,5,5,6,5,7,Bug,Electric,4,0,2,0,0,1,1,1,"Grassland, Forest",Zapper,Threaded,Wallclimber,Underdog,-,-,-,-,-,Small,1,Bug,-,Bug,Electric
Jumpluff,8,6,7,6,9,11,Grass,Flying,4,8,4,0,0,3,4,2,"Grassland, Forest",-,-,-,-,-,-,-,-,-,Small,1,Fairy,Plant,Grass,Flying
Jynx,7,5,4,12,10,10,Ice,Psychic,5,0,3,0,0,1,2,4,Tundra,Freezer,Telekinetic,Telepath,-,-,-,-,-,-,Medium,3,Humanshape,-,Ice,Psychic
Kabuto,3,8,9,6,5,6,Rock,Water,4,0,4,0,2,0,1,2,"Ocean, Cave",Gilled,Underdog,-,-,-,-,-,-,-,Small,2,Water 1,Water 3,Rock,Water
Kabutops,6,12,11,7,7,8,Rock,Water,6,0,6,0,0,1,1,2,"Ocean, Cave",Gilled,-,-,-,-,-,-,-,-,Medium,3,Water 1,Water 3,Rock,Water
Kadabra,4,4,3,12,7,11,Psychic,,5,0,2,0,0,2,1,3,"Forest, Urban",Telekinetic,Telepath,Teleporter 2,Underdog,-,-,-,-,-,Medium,4,Humanshape,-,Psychic,None
Kakuna,5,3,5,3,3,4,Bug,Poison,2,0,2,0,0,1,1,1,"Grassland, Forest",Threaded,Underdog,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,Poison
Kangaskhan,11,10,8,4,8,9,Normal,,7,0,4,0,0,3,3,7,-,Marsupial,-,-,-,-,-,-,-,-,Medium,4,Monster,-,Normal,None
Karrablast,5,8,5,4,5,6,Bug,,4,0,2,0,0,1,2,2,Forest,Underdog,-,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,None
Kecleon,6,9,7,6,12,4,Normal,,5,0,2,0,0,2,2,2,-,Blender,Stealth,Underdog,-,-,-,-,-,-,Medium,2,Field,-,Normal,None
Keldeo,9,7,9,13,9,11,Water,Fight,6,0,7,0,0,3,3,4,Grassland,Fountain,Mountable 1,-,-,-,-,-,-,-,Medium,3,Field,-,Water,Fighting
Kingdra,8,10,10,10,10,9,Water,Dragon,3,0,8,0,0,2,2,6,Ocean,Fountain,Gilled,Mountable 1,-,-,-,-,-,-,Medium,5,Water 1,Dragon,Water,Dragon
Kingler,6,13,12,5,5,8,Water,,6,0,4,0,1,1,1,6,-,Gilled,-,-,-,-,-,-,-,-,Medium,4,Water 3,-,Water,None
Kirlia,4,4,4,7,6,5,Psychic,Fairy,5,0,3,0,0,1,1,2,"Forest, Urban",Telekinetic,Telepath,Underdog,-,-,-,-,-,-,Small,2,Indeterminate,-,Psychic,Fairy
Klang,6,8,10,7,9,5,Steel,,1,0,3,3,0,1,1,5,-,Zapper,Underdog,-,-,-,-,-,-,-,Small,4,Mineral,-,Steel,None
Klefki,6,8,9,8,9,8,Fairy,Steel,1,0,1,6,0,0,1,1,-,Dead Silent,-,-,-,-,-,-,-,-,Small,1,Mineral,-,Steel,Fairy
Klink,4,6,7,5,6,3,Steel,,1,0,2,3,0,1,1,3,-,Zapper,Underdog,-,-,-,-,-,-,-,Small,2,Mineral,-,Steel,None
Klinklang,6,10,12,7,9,9,Steel,,1,0,3,4,0,1,1,7,-,Zapper,-,-,-,-,-,-,-,-,Medium,4,Mineral,-,Steel,None
Koffing,4,7,10,6,5,4,Poison,,3,0,1,3,0,1,1,2,-,Volatile Bomb,Underdog,-,-,-,-,-,-,-,Small,1,Indeterminate,-,Poison,None
Krabby,3,11,9,3,3,5,Water,,5,0,3,0,1,1,1,3,-,Gilled,Underdog,-,-,-,-,-,-,-,Small,1,Water 3,-,Water,None
Kricketot,4,3,4,3,4,3,Bug,,4,0,2,0,0,2,3,1,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,None
Kricketune,8,9,5,6,5,7,Bug,,8,5,4,0,0,5,5,2,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Medium,3,Bug,-,Bug,None
Krokorok,6,8,5,5,5,7,Ground,Dark,5,0,4,0,2,1,1,5,Desert,Darkvision,Stealth,Underdog,-,-,-,-,-,-,Medium,3,Field,-,Ground,Dark
Krookodile,10,12,7,7,7,9,Ground,Dark,6,0,5,0,2,1,2,7,Desert,Darkvision,Stealth,Groundshaper,-,-,-,-,-,-,Medium,4,Field,-,Ground,Dark
Kyogre,10,10,9,15,14,9,Water,,4,0,12,0,0,1,1,12,Ocean,Fountain,Gilled,Glow,Mountable 2,-,-,-,-,-,Gigantic,6,None,-,Water,None
Kyurem,13,13,9,13,9,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem R,13,12,9,17,10,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem (R),13,12,9,17,10,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem-R,13,12,9,17,10,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem Reshiram,13,12,9,17,10,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem (Reshiram),13,12,9,17,10,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem-Reshiram,13,12,9,17,10,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem Z,13,17,10,12,9,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem (Z),13,17,10,12,9,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem-Z,13,17,10,12,9,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem Zekrom,13,17,10,12,9,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem (Zekrom),13,17,10,12,9,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Kyurem-Zekrom,13,17,10,12,9,10,Dragon,Ice,6,6,6,0,6,2,2,10,-,Aura Reader,Chilled,Freezer,Telepath,Mountable 1,Forme Change,-,-,-,Gigantic,6,None,-,Dragon,Ice
Lairon,6,9,14,5,5,4,Steel,Rock,5,0,2,0,0,0,1,9,Cave,Underdog,-,-,-,-,-,-,-,-,Medium,5,Monster,-,Steel,Rock
Lampent,6,4,6,10,6,6,Ghost,Fire,1,0,3,6,0,1,1,2,-,Darkvision,Dead Silent,Phasing,Glow,Invisibility,Firestarter/Heater,Heater,Shrinkable,-,Small,2,Indeterminate,-,Ghost,Fire
Landorus I,9,13,9,12,8,10,Ground,Flying,5,8,5,0,0,2,2,6,-,Guster,Groundshaper,-,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus (I),9,13,9,12,8,10,Ground,Flying,5,8,5,0,0,2,2,6,-,Guster,Groundshaper,-,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus-I,9,13,9,12,8,10,Ground,Flying,5,8,5,0,0,2,2,6,-,Guster,Groundshaper,-,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus Incarnate,9,13,9,12,8,10,Ground,Flying,5,8,5,0,0,2,2,6,-,Guster,Groundshaper,-,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus (Incarnate),9,13,9,12,8,10,Ground,Flying,5,8,5,0,0,2,2,6,-,Guster,Groundshaper,-,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus-Incarnate,9,13,9,12,8,10,Ground,Flying,5,8,5,0,0,2,2,6,-,Guster,Groundshaper,-,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus T,9,15,9,11,8,9,Ground,Flying,8,0,6,0,0,3,3,8,-,Groundshaper,Mountable 1,Tremorsense,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus (T),9,15,9,11,8,9,Ground,Flying,8,0,6,0,0,3,3,8,-,Groundshaper,Mountable 1,Tremorsense,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus-T,9,15,9,11,8,9,Ground,Flying,8,0,6,0,0,3,3,8,-,Groundshaper,Mountable 1,Tremorsense,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus Therian,9,15,9,11,8,9,Ground,Flying,8,0,6,0,0,3,3,8,-,Groundshaper,Mountable 1,Tremorsense,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus (Therian),9,15,9,11,8,9,Ground,Flying,8,0,6,0,0,3,3,8,-,Groundshaper,Mountable 1,Tremorsense,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Landorus-Therian,9,15,9,11,8,9,Ground,Flying,8,0,6,0,0,3,3,8,-,Groundshaper,Mountable 1,Tremorsense,-,-,-,-,-,-,Large,4,None,-,Ground,Flying
Lanturn,13,6,6,8,8,7,Water,Electric,2,0,7,0,0,3,2,2,Ocean,Gilled,Fountain,Zapper,Glow,-,-,-,-,-,Medium,2,Water 2,-,Water,Electric
Lapras,13,9,8,9,10,6,Water,Ice,2,0,10,0,0,0,0,8,Tundra,Fountain,Gilled,Mountable 2,-,-,-,-,-,-,Large,6,Monster,Water 1,Water,Ice
Larvesta,6,9,6,5,6,6,Bug,Fire,4,2,2,0,0,1,1,2,-,Egg Warmer,Firestarter,Heater,Underdog,-,-,-,-,-,Medium,3,Bug,-,Bug,Fire
Larvitar,5,6,5,5,5,4,Rock,Ground,4,0,1,0,0,0,1,7,Mountain,Underdog,-,-,-,-,-,-,-,-,Small,4,Monster,-,Rock,Ground
Latias,8,8,9,11,13,11,Dragon,Psychic,6,8,4,0,0,2,2,4,-,Aura Reader,Guster,Telekinetic,Telepath,Mountable 1,-,-,-,-,Large,3,None,-,Dragon,Psychic
Latios,8,9,8,13,11,11,Dragon,Psychic,6,8,4,0,0,2,2,4,-,Aura Reader,Guster,Telekinetic,Telepath,Mountable 1,-,-,-,-,Large,3,None,-,Dragon,Psychic
Leafeon,7,11,13,6,7,10,Grass,,7,0,4,0,0,1,2,3,"Grassland, Forest",Tracker,-,-,-,-,-,-,-,-,Medium,3,Field,-,Grass,None
Leavanny,8,10,8,7,7,9,Bug,Grass,7,0,4,0,0,2,2,3,"Grassland, Forest",Threaded,Wallclimber,Leaf Crafter,-,-,-,-,-,-,Medium,2,Bug,-,Bug,Grass
Ledian,6,4,5,6,11,9,Bug,Flying,6,6,3,0,0,2,2,4,"Grassland, Forest",Wallclimber,Underdog,-,-,-,-,-,-,-,Medium,3,Bug,-,Bug,Flying
Ledyba,4,2,3,4,8,6,Bug,Flying,4,3,2,0,0,1,2,2,"Grassland, Forest",Wallclimber,Underdog,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,Flying
Lickilicky,11,9,10,8,10,5,Normal,,6,0,4,0,0,3,2,5,"Grassland, Forest",Reach,-,-,-,-,-,-,-,-,Medium,5,Monster,-,Normal,None
Lickitung,9,6,8,6,8,3,Normal,,5,0,4,0,0,3,2,4,"Grassland, Forest",Reach,Underdog,-,-,-,-,-,-,-,Medium,4,Monster,-,Normal,None
Liepard,6,9,5,9,5,11,Dark,,8,0,4,0,0,1,1,4,"Grassland, Urban",Darkvision,Stealth,Underdog,-,-,-,-,-,-,Medium,3,Field,-,Dark,None
Lileep,7,4,8,6,9,2,Rock,Grass,2,0,1,0,0,0,0,4,-,Gilled,Underdog,-,-,-,-,-,-,-,Medium,2,Water 3,-,Rock,Grass
Lilligant,7,6,8,11,8,9,Grass,,5,0,2,0,0,1,1,4,"Grassland, Forest",Herb Growth,-,-,-,-,-,-,-,-,Medium,2,Plant,-,Grass,None
Lillipup,5,6,5,3,5,6,Normal,,5,0,3,0,0,1,2,2,"Grassland, Urban",Tracker,Underdog,-,-,-,-,-,-,-,Small,1,Field,-,Normal,None
Linoone,8,7,6,5,6,10,Normal,,7,0,4,0,0,2,3,3,"Forest, Grassland",Tracker,Underdog,-,-,-,-,-,-,-,Small,3,Field,-,Normal,None
Litleo,6,5,6,7,5,7,Fire,Normal,5,0,2,0,0,1,2,2,Grassland,Firestarter,Tracker,Underdog,-,-,-,-,-,-,Small,1,Field,-,Fire,Normal
Litwick,5,3,6,7,6,2,Ghost,Fire,1,0,2,5,0,1,1,1,-,Darkvision,Dead Silent,Phasing,Glow,Invisibility,Firestarter,Heater,Shrinkable,Underdog,Small,1,Indeterminate,-,Ghost,Fire
Lombre,6,5,5,6,7,5,Water,Grass,4,0,5,0,0,1,2,3,"Grassland, Forest",Fountain,Underdog,-,-,-,-,-,-,-,Medium,3,Water 1,Plant,Water,Grass
Lopunny,7,8,8,5,10,11,Normal,,7,0,4,0,0,5,4,2,Grassland,-,-,-,-,-,-,-,-,-,Medium,3,Field,Humanshape,Normal,None
Lotad,4,3,3,4,5,3,Water,Grass,3,0,4,0,0,1,1,1,"Grassland, Forest",Fountain,Underdog,-,-,-,-,-,-,-,Small,1,Water 1,Plant,Water,Grass
Loudred,8,7,4,7,4,5,Normal,,5,0,2,0,0,1,2,4,Cave,Underdog,-,-,-,-,-,-,-,-,Medium,3,Monster,Field,Normal,None
Lucario,7,11,7,12,7,9,Fight,Steel,8,0,2,0,0,2,3,7,-,Aura Reader,-,-,-,-,-,-,-,-,Medium,4,Field,Humanshape,Fighting,Steel
Ludicolo,8,7,7,9,10,7,Water,Grass,5,0,7,0,0,1,2,5,"Grassland, Forest",Fountain,-,-,-,-,-,-,-,-,Medium,4,Water 1,Plant,Water,Grass
Lugia,11,9,13,9,15,9,Psychic,Flying,5,8,8,0,0,3,3,7,Ocean,Aura Reader,Fountain,Gilled,Glow,Guster,Telekinetic,Telepath,Mountable 3,-,Huge,6,None,-,Psychic,Flying
Lumineon,7,7,8,7,9,9,Water,,3,0,7,0,0,2,4,2,Ocean,Gilled,Fountain,-,-,-,-,-,-,-,Medium,2,Water 2,-,Water,None
Lunatone,7,6,7,10,9,7,Rock,Psychic,1,0,2,5,0,1,1,10,-,Dead Silent,Telekinetic,-,-,-,-,-,-,-,Medium,5,Mineral,-,Rock,Psychic
Luvdisc,4,3,6,4,7,10,Water,,1,0,5,0,0,2,2,1,Ocean,Gilled,Underdog,Heart Gift,-,-,-,-,-,-,Small,1,Water 2,-,Water,None
Luxio,6,9,5,6,5,6,Electric,,7,0,4,0,0,1,2,4,"Grassland, Cave",Tracker,Zapper,Underdog,-,-,-,-,-,-,Medium,3,Field,-,Electric,None
Luxray,8,12,8,10,8,7,Electric,,8,0,5,0,0,1,2,5,"Grassland, Cave",Pack Mon,Tracker,Zapper,Mountable 1,X-Ray Vision,-,-,-,-,Medium,3,Field,-,Electric,None
Machamp,9,13,8,7,9,6,Fight,,8,0,5,0,0,3,2,10,"Cave, Mountain",-,-,-,-,-,-,-,-,-,Medium,5,Humanshape,-,Fighting,None
Machoke,8,10,7,5,6,5,Fight,,6,0,4,0,0,2,2,8,"Cave, Mountain",Underdog,-,-,-,-,-,-,-,-,Medium,4,Humanshape,-,Fighting,None
Machop,7,8,5,4,4,4,Fight,,5,0,4,0,0,2,2,5,"Cave, Mountain",Underdog,-,-,-,-,-,-,-,-,Small,2,Humanshape,-,Fighting,None
Magby,5,8,4,7,6,8,Fire,,4,0,2,0,0,1,1,3,"Cave, Mountain",Egg Warmer,Underdog,-,-,-,-,-,-,-,Small,2,Humanshape,-,Fire,None
Magcargo,5,5,12,8,8,3,Fire,Rock,4,0,3,0,0,0,0,3,-,Egg Warmer,Firestarter,Heater,Wallclimber,Underdog,-,-,-,-,Medium,4,Indeterminate,-,Fire,Rock
Magikarp,2,1,6,2,2,8,Water,,1,0,5,0,0,3,3,1,Ocean,Gilled,Underdog,-,-,-,-,-,-,-,Small,1,Water 2,Dragon,Water,None
Magmar,7,10,6,10,9,10,Fire,,5,0,3,0,0,1,1,5,"Cave, Mountain",Egg Warmer,Firestarter,Glow,Heater,-,-,-,-,-,Medium,3,Humanshape,-,Fire,None
Magmortar,8,10,7,13,10,8,Fire,,6,0,4,0,0,1,2,6,"Cave, Mountain",Egg Warmer,Firestarter,Glow,Heater,-,-,-,-,-,Large,4,Humanshape,-,Fire,None
Magnemite,3,4,7,10,6,5,Electric,Steel,2,0,3,4,0,1,1,2,-,Dead Silent,Magnetic,Zapper,Underdog,-,-,-,-,-,Small,1,Mineral,-,Electric,Steel
Magneton,5,6,10,12,7,7,Electric,Steel,3,0,4,5,0,1,1,4,-,Dead Silent,Magnetic,Zapper,-,-,-,-,-,-,Medium,4,Mineral,-,Electric,Steel
Magnezone,7,7,12,13,9,6,Electric,Steel,3,0,5,6,0,1,1,6,-,Magnetic,Mountable 1,-,-,-,-,-,-,-,Medium,5,Mineral,-,Electric,Steel
Makuhita,7,6,3,2,3,3,Fight,,4,0,2,0,0,1,1,6,-,Underdog,-,-,-,-,-,-,-,-,Medium,4,Humanshape,-,Fighting,None
Malamar,9,9,9,7,8,7,Psychic,Dark,1,0,5,6,0,0,1,1,-,Gilled,Glow,Mind Lock,Telekinetic,Telepath,-,-,-,-,Medium,3,Water 1,Water 2,Dark,Psychic
Mamoswine,11,13,8,7,6,8,Ice,Ground,7,0,4,0,0,1,2,7,Tundra,Chilled,Freezer,Mountable 1,-,-,-,-,-,-,Large,6,Field,-,Ice,Ground
Manaphy,10,10,10,10,10,10,Water,,5,0,8,0,0,2,2,2,Ocean,Amorphous,Fountain,Gilled,Telepath,-,-,-,-,-,Small,1,Water 1,Fairy,Water,None
Mandibuzz,11,7,11,6,10,8,Dark,Flying,4,7,2,0,0,1,2,3,-,Darkvision,Guster,-,-,-,-,-,-,-,Medium,3,Flying,-,Dark,Flying
Manectric,7,8,6,11,6,11,Electric,,6,0,3,0,0,2,3,4,Grassland,Tracker,Zapper,-,-,-,-,-,-,-,Medium,3,Field,-,Electric,None
Mankey,4,8,4,4,5,7,Fight,,6,0,2,0,0,2,2,4,"Forest, Mountain",Underdog,-,-,-,-,-,-,-,-,Small,3,Field,-,Fighting,None
Mantine,7,4,7,8,14,7,Water,Flying,2,8,8,0,0,3,3,5,Ocean,Gilled,Fountain,Mountable 1,-,-,-,-,-,-,Large,6,Water 1,-,Water,Flying
Mantyke,5,2,5,6,12,5,Water,Flying,1,0,5,0,0,2,1,2,Ocean,Gilled,Fountain,Underdog,-,-,-,-,-,-,Medium,4,Water 1,-,Water,Flying
Maractus,8,9,7,11,8,6,Grass,,5,0,2,0,0,1,1,4,Desert,-,-,-,-,-,-,-,-,-,Medium,3,Plant,-,Grass,None
Mareep,6,4,4,7,5,4,Electric,,4,0,2,0,0,1,1,1,Grassland,Glow,Zapper,Underdog,-,-,-,-,-,-,Small,1,Monster,Field,Electric,None
Marill,7,2,5,2,5,4,Water,Fairy,4,0,4,0,0,1,2,2,Wetlands,Fountain,Underdog,-,-,-,-,-,-,-,Small,1,Water 1,Fairy,Water,Fairy
Marowak,6,8,11,5,8,5,Ground,,6,0,3,0,0,1,2,4,"Cave, Mountain",Darkvision,Wielder,Underdog,-,-,-,-,-,-,Medium,3,Monster,-,Ground,None
Marshtomp,7,9,7,6,7,5,Water,Ground,5,0,6,0,2,1,1,4,Wetlands,Fountain,Gilled,Underdog,-,-,-,-,-,-,Small,3,Monster,Water 1,Water,Ground
Masquerain,7,6,6,8,8,6,Bug,Flying,2,5,3,0,0,2,2,1,-,Underdog,-,-,-,-,-,-,-,-,Medium,1,Water 1,Bug,Bug,Flying
Mawile,5,9,9,6,6,5,Steel,Fairy,5,0,3,0,0,1,1,1,Cave,Underdog,-,-,-,-,-,-,-,-,Small,2,Field,Fairy,Steel,Fairy
Medicham,6,6,8,6,8,8,Fight,Psychic,6,0,3,0,0,2,2,6,-,Aura Reader,Underdog,-,-,-,-,-,-,-,Medium,3,Humanshape,-,Fighting,Psychic
Meditite,3,4,6,4,6,6,Fight,Psychic,6,0,2,0,0,1,2,4,-,Underdog,-,-,-,-,-,-,-,-,Small,1,Humanshape,-,Fighting,Psychic
